ITEMID,Item Name,Verified,Category,Equip Type,Use Type,Etc Type,Item Icon,Description,Job,Upgrade Slots,Req Level,Req Str,Req Dex,Req Int,Req Luk,Req Fame,Weapon Category,Attack Speed,Attack Power,Magic Attack,Weapon Def,Magic Def,HP,MP,STR,DEX,INT,LUK,Crit Rate,Crit Damage,Speed,Jump,Accuracy,Avoidability,Knockback
item_archer_pants,Archer Pants,TRUE,EQUIPMENT,Bottom,,,https://maplestory.io/api/GMS/263/item/1060151/icon?resize=4,,Bowman,7,10,0,10,0,0,0,,,,,10,,,,,1,,,,,,,,,
item_green_avelin_skirt,Green Avelin Skirt,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1061009/icon,,Bowman,7,10,0,0,0,0,0,,,,,9 (8-10),,,,,,,,,,,,,,
item_yellow_avelin_skirt,Yellow Avelin Skirt,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1061057/icon,,Bowman,7,10,0,0,0,0,0,,,,,9,,,,,,,,,,,,,,
item_grey_thick_sweat_pants,Grey Thick Sweat Pants,TRUE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1060004/icon,,Bowman,7,12,0,0,0,0,0,,,,,11,,12,,,,,,,,,,,,
item_brown_able_skirt,Brown Able Skirt,TRUE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1061058/icon,,Bowman,7,15,0,20,0,0,0,,,,,13,,15,,,,,,,,,,,,
item_green_able_armor_skirt,Green Able Armor Skirt,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/GMS/263/item/1061006/icon?resize=4,,Bowman,7,15,0,40,0,0,0,,,,,12,,,5,,,,,,,,,,,
item_grey_able_skirt,Grey Able Skirt,TRUE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1061059/icon,,Bowman,7,15,0,20,0,0,0,,,,,13,,10,5,,,,,,,,,,,
item_brown_hard_leather_pants,Brown Hard Leather Pants,TRUE,EQUIPMENT,Bottom,,,https://maplestory.io/api/GMS/22/item/1062002/icon?resize=4,,Bowman,7,20,10,30,0,0,0,,,,,16,,10,,,1,,,,,,,,,
item_green_shivermail_skirt,Green Shivermail Skirt,TRUE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1061024/icon,,Bowman,7,20,10,30,0,0,0,,,,,16,,,,,2,,,,,,,,,
item_purple_shivermail_skirt,Purple Shivermail Skirt,TRUE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1061026/icon,,Bowman,7,20,10,30,0,0,0,,,,,16,,,20,,,,,,,,,,,
item_red_shivermail_skirt,Red Shivermail Skirt,TRUE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1061025/icon,,Bowman,7,20,10,30,0,0,0,,,,,16,,20,,,,,,,,,,,,
item_bennis_chainpants,Bennis Chainpants,TRUE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1062006/icon,,Bowman,7,25,15,40,0,0,0,,,,,19,,5,,,2,,,,,,,,,
item_black_huntress_pants,Black Huntress Pants,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1061051/icon,,Bowman,7,30,0,100,0,0,0,,,,,21,,,10,,,,,,,,,,,
item_blue_hunters_pants,Blue Hunter's Pants,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1060059/icon,,Bowman,7,30,0,100,0,0,0,,,,,21,,,10,,,,,,,,,,,
