MAPID,Map Name,Map Picture,Map Song Name,Map Song
map_snail_hunting_ground_i,Snail Hunting Ground I,https://maplestory.io/api/gms/62/map/40000/render,Rest N Peace,https://maplestory.io/api/GMS/22/music/Bgm00/RestNPeace
map_snail_hunting_ground_ii,Snail Hunting Ground II,https://maplestory.io/api/gms/62/map/40001/render,Rest N Peace,https://maplestory.io/api/GMS/22/music/Bgm00/RestNPeace
map_snail_hunting_ground_iii,Snail Hunting Ground III,https://maplestory.io/api/gms/62/map/40002/render,Rest N Peace,https://maplestory.io/api/GMS/22/music/Bgm00/RestNPeace
map_a_split_road,A Split Road,https://maplestory.io/api/gms/62/map/50000/render,Rest N Peace,https://maplestory.io/api/GMS/22/music/Bgm00/RestNPeace
map_the_field_west_of_amherst,The Field West of Amherst,https://maplestory.io/api/gms/62/map/1000000/render,Rest N Peace,https://maplestory.io/api/GMS/22/music/Bgm00/RestNPeace
map_the_field_west_of_southperry,The Field West of SouthPerry,https://maplestory.io/api/gms/62/map/50001/render,Rest N Peace,https://maplestory.io/api/GMS/22/music/Bgm00/RestNPeace
map_snail_garden,Snail Garden,https://maplestory.io/api/gms/62/map/1000004/render,Rest N Peace,https://maplestory.io/api/GMS/22/music/Bgm00/RestNPeace
map_maple_island__mushroom_garden,Maple Island - Mushroom Garden,https://maplestory.io/api/gms/62/map/104030001/render,Rest N Peace,https://maplestory.io/api/GMS/22/music/Bgm00/RestNPeace
map_amherst,Amherst,https://maplestory.io/api/gms/62/map/1010000/render,Floral Life,https://maplestory.io/api/GMS/22/music/Bgm00/FloralLife
map_amherst_weapon_store,Amherst Weapon Store,https://maplestory.io/api/gms/62/map/1010001/render,Floral Life,https://maplestory.io/api/GMS/22/music/Bgm00/FloralLife
map_amherst_department_store,Amherst Department Store,https://maplestory.io/api/gms/62/map/1010003/render,Floral Life,https://maplestory.io/api/GMS/22/music/Bgm00/FloralLife
map_amherst_town_street,Amherst Town Street,https://maplestory.io/api/gms/62/map/1010002/render,Floral Life,https://maplestory.io/api/GMS/22/music/Bgm00/FloralLife
map_snail_field_of_flowers,Snail Field of Flowers,https://maplestory.io/api/gms/62/map/1010004/render,Floral Life,https://maplestory.io/api/GMS/22/music/Bgm00/FloralLife
map_the_field_east_of_amherst,The Field East of Amherst,https://maplestory.io/api/gms/62/map/1020000/render,Rest N Peace,https://maplestory.io/api/GMS/22/music/Bgm00/RestNPeace
map_tomato_field,Tomato Field,https://maplestory.io/api/gms/62/map/1020001/render,Rest N Peace,https://maplestory.io/api/GMS/22/music/Bgm00/RestNPeace
