MOBID,Name,Picture,Level,XP,HP,XPCost,Verified
mob_snail,Snail,https://maplestory.io/api/GMS/12/mob/100100/render/stand,1,2,40,20.00,TRUE
mob_blue_snail,Blue Snail,https://maplestory.io/api/GMS/12/mob/100101/render/stand,2,3,40,13.33,TRUE
mob_shroom,Shroom,https://maplestory.io/api/GMS/12/mob/120100/render/stand,2,5,50,10.00,TRUE
mob_red_snail,Red Snail,https://maplestory.io/api/GMS/12/mob/130101/render/stand,4,7,45,6.43,TRUE
mob_stump,Stump,https://maplestory.io/api/GMS/12/mob/130100/render/stand,4,9,125,13.89,TRUE
mob_slime,Slime,https://maplestory.io/api/GMS/12/mob/210100/render/stand,6,11,100,9.09,TRUE
mob_pig,Pig,https://maplestory.io/api/GMS/12/mob/1210100/render/stand,7,13,75,5.77,TRUE
mob_orange_mushroom,Orange Mushroom,https://maplestory.io/api/GMS/12/mob/1210102/render/stand,8,15,110,7.33,TRUE
mob_ribbon_pig,Ribbon Pig,https://maplestory.io/api/GMS/12/mob/1210101/render/stand,10,19,120,6.32,TRUE
mob_dark_stump,Dark Stump,https://maplestory.io/api/GMS/12/mob/1110101/render/stand,10,21,250,11.90,TRUE
mob_octopus,Octopus,https://maplestory.io/api/GMS/12/mob/1120100/render/stand,12,23,200,8.70,TRUE
mob_green_mushroom,Green Mushroom,https://maplestory.io/api/GMS/12/mob/1110100/render/stand,15,27,225,8.33,FALSE
mob_bubbling,Bubbling,https://maplestory.io/api/GMS/12/mob/1210103/render/stand,15,29,250,8.62,FALSE
mob_axe_stump,Axe Stump,https://maplestory.io/api/GMS/12/mob/1130100/render/stand,17,33,350,10.61,TRUE
mob_blue_mushroom,Blue Mushroom,https://maplestory.io/api/GMS/12/mob/2220100/render/stand,20,37,350,9.46,TRUE
mob_stirge,Stirge,https://maplestory.io/api/GMS/12/mob/2300100/render/fly,20,39,250,6.41,TRUE
mob_jr_necki,Jr. Necki,https://maplestory.io/api/GMS/12/mob/2130103/render/stand,21,41,285,6.95,TRUE
mob_horny_mushroom,Horny Mushroom,https://maplestory.io/api/GMS/12/mob/2110200/render/stand,22,43,350,8.14,TRUE
mob_dark_axe_stump,Dark Axe Stump,https://maplestory.io/api/GMS/12/mob/2130100/render/stand,22,45,350,7.78,TRUE
mob_zombie_mushroom,Zombie Mushroom,https://maplestory.io/api/GMS/12/mob/2230101/render/stand,24,47,375,7.98,TRUE
mob_wild_boar,Wild Boar,https://maplestory.io/api/GMS/12/mob/2230102/render/stand,24,49,550,11.22,FALSE
mob_evil_eye,Evil Eye,https://maplestory.io/api/GMS/12/mob/2230100/render/stand,25,53,550,10.38,TRUE
mob_iron_hog,Iron Hog,https://maplestory.io/api/gms/83/mob/4230103/render/stand,27,55,450,8.18,FALSE
mob_fairy,Fairy,https://maplestory.io/api/GMS/12/mob/3000001/render/stand,30,57,500,8.77,FALSE
mob_ligator,Ligator,https://maplestory.io/api/gms/83/mob/3110100/render/stand,32,61,700,11.48,TRUE
mob_fire_boar,Fire Boar,https://maplestory.io/api/GMS/12/mob/3210100/render/stand,32,63,600,9.52,FALSE
mob_curse_eye,Curse Eye,https://maplestory.io/api/gms/83/mob/3230100/render/stand,35,65,800,12.31,TRUE
mob_jr_wraith,Jr. Wraith,https://maplestory.io/api/gms/83/mob/3230101/render/stand,35,67,675,10.07,TRUE
